fecha,sucursal,ciudad,producto,categoria,cantidad,precio_unitario,descuento,total
2025-01-07,Mazatlán Centro,Mazatlán,Armazón básico,Armazones,3,350,0,1050
2025-01-07,Galerías,Culiacán,Estuche rígido,Accesorios,1,80,0.15,68.0
2025-01-07,Plaza Fiesta,Culiacán,Solución 360ml,Accesorios,3,120,0,360
2025-01-07,Mazatlán Centro,Mazatlán,Armazón premium,Armazones,1,890,0.15,756.5
2025-01-07,Galerías,Culiacán,Estuche rígido,Accesorios,3,80,0.15,204.0
2025-01-07,Guasave,Guasave,Armazón básico,Armazones,2,350,0.05,665.0
2025-01-08,Forum,Culiacán,Lentes monofocales,Lentes,2,890,0,1780
2025-01-08,Forum,Culiacán,Gotas lubricantes,Accesorios,1,95,0,95
2025-01-08,Mazatlán Centro,Mazatlán,Lentes monofocales,Lentes,1,890,0.05,845.5
2025-01-08,Forum,Culiacán,Solución 360ml,Accesorios,2,120,0.15,204.0
2025-01-08,Plaza Fiesta,Culiacán,Armazón premium,Armazones,3,890,0.1,2403.0
2025-01-08,Tres Ríos,Culiacán,Consulta visual,Servicios,3,99,0,297
2025-01-08,Tres Ríos,Culiacán,Microfibra,Accesorios,1,45,0,45
2025-01-08,Plaza Fiesta,Culiacán,Microfibra,Accesorios,1,45,0.05,42.75
2025-01-09,Centro,Culiacán,Armazón de diseñador,Armazones,1,1650,0.05,1567.5
2025-01-09,Forum,Culiacán,Solución 360ml,Accesorios,1,120,0.05,114.0
2025-01-09,Galerías,Culiacán,Armazón de diseñador,Armazones,3,1650,0.05,4702.5
2025-01-09,Mazatlán Dorado,Mazatlán,Estuche rígido,Accesorios,1,80,0.05,76.0
2025-01-09,Los Mochis,Los Mochis,Armazón premium,Armazones,3,890,0,2670
2025-01-09,Los Mochis,Los Mochis,Estuche rígido,Accesorios,2,80,0.05,152.0
2025-01-09,Tres Ríos,Culiacán,Lentes bifocales,Lentes,1,1490,0,1490
2025-01-09,Plaza Fiesta,Culiacán,Consulta visual,Servicios,1,99,0,99
2025-01-10,Centro,Culiacán,Estuche rígido,Accesorios,3,80,0.05,228.0
2025-01-10,Plaza Fiesta,Culiacán,Microfibra,Accesorios,1,45,0.15,38.25
2025-01-10,Los Mochis,Los Mochis,Solución 360ml,Accesorios,3,120,0.05,342.0
2025-01-10,Galerías,Culiacán,Lentes bifocales,Lentes,3,1490,0.15,3799.5
2025-01-10,Los Mochis,Los Mochis,Estuche rígido,Accesorios,3,80,0.05,228.0
2025-01-11,Guasave,Guasave,Armazón premium,Armazones,3,890,0.05,2536.5
2025-01-11,Los Mochis,Los Mochis,Lentes monofocales,Lentes,3,890,0.05,2536.5
2025-01-11,Forum,Culiacán,Solución 360ml,Accesorios,2,120,0.05,228.0
2025-01-11,Galerías,Culiacán,Microfibra,Accesorios,2,45,0.1,81.0
2025-01-11,Mazatlán Dorado,Mazatlán,Lentes bifocales,Lentes,2,1490,0.05,2831.0
2025-01-11,Mazatlán Centro,Mazatlán,Consulta visual,Servicios,2,99,0,198
2025-01-12,Mazatlán Centro,Mazatlán,Armazón premium,Armazones,2,890,0,1780
2025-01-13,Mazatlán Dorado,Mazatlán,Armazón premium,Armazones,2,890,0.1,1602.0
2025-01-13,Mazatlán Dorado,Mazatlán,Armazón de diseñador,Armazones,2,1650,0,3300
2025-01-13,Centro,Culiacán,Solución 360ml,Accesorios,3,120,0,360
2025-01-13,Tres Ríos,Culiacán,Microfibra,Accesorios,1,45,0.05,42.75
2025-01-13,Los Mochis,Los Mochis,Lentes progresivos,Lentes,3,2490,0,7470
2025-01-13,Mazatlán Centro,Mazatlán,Solución 360ml,Accesorios,2,120,0.1,216.0
2025-01-13,Mazatlán Centro,Mazatlán,Lentes progresivos,Lentes,3,2490,0,7470
2025-01-13,Centro,Culiacán,Armazón premium,Armazones,2,890,0.15,1513.0
2025-01-14,Forum,Culiacán,Armazón básico,Armazones,1,350,0.05,332.5
2025-01-14,Mazatlán Dorado,Mazatlán,Armazón de diseñador,Armazones,3,1650,0.15,4207.5
2025-01-14,Forum,Culiacán,Solución 360ml,Accesorios,3,120,0,360
2025-01-14,Plaza Fiesta,Culiacán,Armazón premium,Armazones,1,890,0,890
2025-01-14,Mazatlán Dorado,Mazatlán,Lentes progresivos,Lentes,2,2490,0.1,4482.0
2025-01-15,Los Mochis,Los Mochis,Lentes bifocales,Lentes,3,1490,0.15,3799.5
2025-01-15,Plaza Fiesta,Culiacán,Lentes monofocales,Lentes,1,890,0,890
2025-01-16,Forum,Culiacán,Armazón básico,Armazones,1,350,0,350
2025-01-16,Galerías,Culiacán,Microfibra,Accesorios,2,45,0.1,81.0
2025-01-16,Forum,Culiacán,Armazón de diseñador,Armazones,1,1650,0.1,1485.0
2025-01-16,Centro,Culiacán,Consulta visual,Servicios,3,99,0.15,252.45
2025-01-16,Mazatlán Dorado,Mazatlán,Armazón de diseñador,Armazones,3,1650,0.15,4207.5
2025-01-16,Galerías,Culiacán,Armazón premium,Armazones,3,890,0,2670
2025-01-16,Galerías,Culiacán,Estuche rígido,Accesorios,1,80,0,80
2025-01-16,Plaza Fiesta,Culiacán,Lentes bifocales,Lentes,2,1490,0,2980
2025-01-17,Galerías,Culiacán,Estuche rígido,Accesorios,2,80,0.15,136.0
2025-01-17,Galerías,Culiacán,Lentes progresivos,Lentes,3,2490,0,7470
2025-01-17,Galerías,Culiacán,Estuche rígido,Accesorios,3,80,0,240
2025-01-17,Forum,Culiacán,Lentes bifocales,Lentes,3,1490,0,4470
2025-01-18,Galerías,Culiacán,Lentes bifocales,Lentes,1,1490,0.1,1341.0
2025-01-18,Los Mochis,Los Mochis,Lentes progresivos,Lentes,1,2490,0,2490
2025-01-18,Mazatlán Dorado,Mazatlán,Estuche rígido,Accesorios,2,80,0.1,144.0
2025-01-18,Galerías,Culiacán,Armazón premium,Armazones,2,890,0,1780
2025-01-18,Tres Ríos,Culiacán,Estuche rígido,Accesorios,1,80,0.1,72.0
2025-01-18,Forum,Culiacán,Estuche rígido,Accesorios,1,80,0,80
2025-01-19,Centro,Culiacán,Lentes bifocales,Lentes,2,1490,0,2980
2025-01-19,Centro,Culiacán,Armazón premium,Armazones,1,890,0,890
2025-01-19,Tres Ríos,Culiacán,Lentes progresivos,Lentes,2,2490,0.05,4731.0
2025-01-19,Los Mochis,Los Mochis,Lentes monofocales,Lentes,1,890,0,890
2025-01-20,Los Mochis,Los Mochis,Armazón premium,Armazones,3,890,0.1,2403.0
2025-01-20,Mazatlán Dorado,Mazatlán,Consulta visual,Servicios,1,99,0.15,84.15
2025-01-20,Los Mochis,Los Mochis,Armazón básico,Armazones,1,350,0,350
2025-01-21,Los Mochis,Los Mochis,Solución 360ml,Accesorios,2,120,0.1,216.0
2025-01-21,Los Mochis,Los Mochis,Lentes monofocales,Lentes,3,890,0.1,2403.0
2025-01-21,Los Mochis,Los Mochis,Estuche rígido,Accesorios,2,80,0.15,136.0
2025-01-21,Forum,Culiacán,Lentes progresivos,Lentes,3,2490,0,7470
2025-01-21,Centro,Culiacán,Solución 360ml,Accesorios,2,120,0.1,216.0
2025-01-21,Mazatlán Centro,Mazatlán,Solución 360ml,Accesorios,3,120,0,360
2025-01-21,Mazatlán Centro,Mazatlán,Armazón de diseñador,Armazones,2,1650,0,3300
2025-01-21,Plaza Fiesta,Culiacán,Gotas lubricantes,Accesorios,1,95,0.1,85.5
2025-01-21,Galerías,Culiacán,Estuche rígido,Accesorios,3,80,0,240
2025-01-21,Mazatlán Dorado,Mazatlán,Gotas lubricantes,Accesorios,3,95,0.15,242.25
2025-01-22,Mazatlán Dorado,Mazatlán,Lentes monofocales,Lentes,2,890,0,1780
2025-01-22,Galerías,Culiacán,Estuche rígido,Accesorios,2,80,0.1,144.0
2025-01-22,Plaza Fiesta,Culiacán,Armazón de diseñador,Armazones,3,1650,0,4950
2025-01-22,Plaza Fiesta,Culiacán,Lentes progresivos,Lentes,3,2490,0.05,7096.5
2025-01-22,Guasave,Guasave,Consulta visual,Servicios,3,99,0.05,282.15
2025-01-23,Mazatlán Centro,Mazatlán,Solución 360ml,Accesorios,3,120,0.15,306.0
2025-01-23,Guasave,Guasave,Estuche rígido,Accesorios,1,80,0.05,76.0
2025-01-23,Los Mochis,Los Mochis,Microfibra,Accesorios,2,45,0.05,85.5
2025-01-24,Plaza Fiesta,Culiacán,Lentes progresivos,Lentes,1,2490,0.05,2365.5
2025-01-24,Plaza Fiesta,Culiacán,Gotas lubricantes,Accesorios,3,95,0,285
2025-01-24,Tres Ríos,Culiacán,Microfibra,Accesorios,2,45,0,90
2025-01-24,Guasave,Guasave,Armazón premium,Armazones,2,890,0,1780
2025-01-24,Los Mochis,Los Mochis,Microfibra,Accesorios,2,45,0.05,85.5
2025-01-24,Plaza Fiesta,Culiacán,Solución 360ml,Accesorios,3,120,0.15,306.0
2025-01-25,Mazatlán Dorado,Mazatlán,Estuche rígido,Accesorios,2,80,0,160
2025-01-25,Forum,Culiacán,Gotas lubricantes,Accesorios,2,95,0,190
2025-01-25,Tres Ríos,Culiacán,Estuche rígido,Accesorios,1,80,0.1,72.0
2025-01-26,Plaza Fiesta,Culiacán,Armazón de diseñador,Armazones,1,1650,0.05,1567.5
2025-01-26,Mazatlán Dorado,Mazatlán,Lentes bifocales,Lentes,3,1490,0,4470
2025-01-26,Centro,Culiacán,Armazón de diseñador,Armazones,2,1650,0.05,3135.0
2025-01-26,Guasave,Guasave,Armazón premium,Armazones,1,890,0.1,801.0
2025-01-27,Mazatlán Centro,Mazatlán,Armazón básico,Armazones,3,350,0.1,945.0
2025-01-27,Forum,Culiacán,Consulta visual,Servicios,1,99,0,99
2025-01-27,Mazatlán Dorado,Mazatlán,Gotas lubricantes,Accesorios,3,95,0.1,256.5
2025-01-27,Forum,Culiacán,Armazón premium,Armazones,3,890,0,2670
2025-01-27,Mazatlán Dorado,Mazatlán,Microfibra,Accesorios,3,45,0,135
2025-01-28,Centro,Culiacán,Gotas lubricantes,Accesorios,3,95,0.05,270.75
2025-01-28,Guasave,Guasave,Estuche rígido,Accesorios,3,80,0,240
2025-01-28,Centro,Culiacán,Lentes monofocales,Lentes,2,890,0,1780
2025-01-28,Plaza Fiesta,Culiacán,Microfibra,Accesorios,3,45,0.05,128.25
2025-01-28,Galerías,Culiacán,Estuche rígido,Accesorios,1,80,0,80
2025-01-29,Plaza Fiesta,Culiacán,Microfibra,Accesorios,2,45,0,90
2025-01-29,Mazatlán Dorado,Mazatlán,Microfibra,Accesorios,2,45,0,90
2025-01-29,Mazatlán Dorado,Mazatlán,Microfibra,Accesorios,3,45,0.05,128.25
2025-01-29,Centro,Culiacán,Armazón de diseñador,Armazones,1,1650,0.15,1402.5
2025-01-30,Galerías,Culiacán,Lentes bifocales,Lentes,1,1490,0.15,1266.5
2025-01-30,Galerías,Culiacán,Consulta visual,Servicios,3,99,0.1,267.3
2025-01-30,Los Mochis,Los Mochis,Consulta visual,Servicios,2,99,0,198
2025-01-31,Galerías,Culiacán,Consulta visual,Servicios,2,99,0,198
2025-01-31,Plaza Fiesta,Culiacán,Lentes progresivos,Lentes,2,2490,0,4980
2025-01-31,Galerías,Culiacán,Estuche rígido,Accesorios,1,80,0.1,72.0
2025-01-31,Los Mochis,Los Mochis,Consulta visual,Servicios,3,99,0,297
2025-01-31,Plaza Fiesta,Culiacán,Armazón premium,Armazones,3,890,0,2670
2025-01-31,Galerías,Culiacán,Armazón básico,Armazones,3,350,0,1050
2025-01-31,Mazatlán Centro,Mazatlán,Lentes monofocales,Lentes,1,890,0,890
2025-01-31,Los Mochis,Los Mochis,Gotas lubricantes,Accesorios,2,95,0.15,161.5
2025-01-31,Mazatlán Centro,Mazatlán,Armazón de diseñador,Armazones,2,1650,0.05,3135.0
2025-01-31,Forum,Culiacán,Gotas lubricantes,Accesorios,2,95,0,190
2025-02-01,Forum,Culiacán,Lentes progresivos,Lentes,3,2490,0,7470
2025-02-01,Guasave,Guasave,Microfibra,Accesorios,2,45,0.1,81.0
2025-02-01,Los Mochis,Los Mochis,Solución 360ml,Accesorios,1,120,0,120
2025-02-01,Centro,Culiacán,Gotas lubricantes,Accesorios,1,95,0,95
2025-02-01,Galerías,Culiacán,Lentes progresivos,Lentes,3,2490,0,7470
2025-02-01,Tres Ríos,Culiacán,Estuche rígido,Accesorios,1,80,0.15,68.0
2025-02-01,Galerías,Culiacán,Microfibra,Accesorios,2,45,0.1,81.0
2025-02-02,Centro,Culiacán,Estuche rígido,Accesorios,2,80,0.1,144.0
2025-02-02,Los Mochis,Los Mochis,Armazón premium,Armazones,1,890,0,890
2025-02-02,Mazatlán Centro,Mazatlán,Lentes progresivos,Lentes,3,2490,0,7470
2025-02-03,Guasave,Guasave,Lentes progresivos,Lentes,3,2490,0,7470
2025-02-03,Plaza Fiesta,Culiacán,Armazón de diseñador,Armazones,1,1650,0,1650
2025-02-03,Guasave,Guasave,Estuche rígido,Accesorios,2,80,0.15,136.0
2025-02-03,Plaza Fiesta,Culiacán,Gotas lubricantes,Accesorios,2,95,0,190
2025-02-03,Mazatlán Centro,Mazatlán,Armazón premium,Armazones,3,890,0.1,2403.0
2025-02-03,Mazatlán Centro,Mazatlán,Gotas lubricantes,Accesorios,3,95,0,285
2025-02-03,Mazatlán Dorado,Mazatlán,Consulta visual,Servicios,2,99,0,198
2025-02-04,Tres Ríos,Culiacán,Armazón básico,Armazones,3,350,0.1,945.0
2025-02-04,Mazatlán Centro,Mazatlán,Lentes bifocales,Lentes,2,1490,0,2980
2025-02-04,Mazatlán Centro,Mazatlán,Armazón básico,Armazones,1,350,0,350
2025-02-04,Mazatlán Dorado,Mazatlán,Estuche rígido,Accesorios,2,80,0,160
2025-02-05,Centro,Culiacán,Lentes monofocales,Lentes,2,890,0.15,1513.0
2025-02-05,Guasave,Guasave,Lentes monofocales,Lentes,3,890,0,2670
2025-02-05,Forum,Culiacán,Lentes bifocales,Lentes,1,1490,0.1,1341.0
2025-02-06,Forum,Culiacán,Armazón premium,Armazones,2,890,0,1780
2025-02-06,Tres Ríos,Culiacán,Armazón básico,Armazones,2,350,0,700
2025-02-06,Galerías,Culiacán,Estuche rígido,Accesorios,1,80,0.1,72.0
2025-02-06,Mazatlán Dorado,Mazatlán,Microfibra,Accesorios,1,45,0,45
2025-02-06,Forum,Culiacán,Gotas lubricantes,Accesorios,2,95,0,190
2025-02-06,Los Mochis,Los Mochis,Lentes progresivos,Lentes,3,2490,0,7470
2025-02-06,Tres Ríos,Culiacán,Solución 360ml,Accesorios,3,120,0,360
2025-02-08,Tres Ríos,Culiacán,Gotas lubricantes,Accesorios,1,95,0,95
2025-02-08,Galerías,Culiacán,Gotas lubricantes,Accesorios,1,95,0,95
2025-02-08,Tres Ríos,Culiacán,Lentes monofocales,Lentes,1,890,0,890
2025-02-08,Plaza Fiesta,Culiacán,Consulta visual,Servicios,1,99,0.15,84.15
2025-02-08,Guasave,Guasave,Lentes bifocales,Lentes,3,1490,0.1,4023.0
2025-02-08,Mazatlán Centro,Mazatlán,Microfibra,Accesorios,3,45,0.05,128.25
2025-02-09,Forum,Culiacán,Armazón básico,Armazones,1,350,0,350
2025-02-09,Plaza Fiesta,Culiacán,Armazón básico,Armazones,2,350,0.15,595.0
2025-02-10,Forum,Culiacán,Consulta visual,Servicios,2,99,0,198
2025-02-10,Mazatlán Dorado,Mazatlán,Gotas lubricantes,Accesorios,3,95,0,285
2025-02-10,Mazatlán Dorado,Mazatlán,Gotas lubricantes,Accesorios,2,95,0.1,171.0
2025-02-10,Mazatlán Dorado,Mazatlán,Lentes progresivos,Lentes,2,2490,0.1,4482.0
2025-02-11,Los Mochis,Los Mochis,Estuche rígido,Accesorios,2,80,0.1,144.0
2025-02-11,Plaza Fiesta,Culiacán,Estuche rígido,Accesorios,1,80,0,80
2025-02-11,Mazatlán Dorado,Mazatlán,Lentes progresivos,Lentes,1,2490,0,2490
2025-02-11,Tres Ríos,Culiacán,Lentes monofocales,Lentes,1,890,0,890
2025-02-11,Los Mochis,Los Mochis,Microfibra,Accesorios,1,45,0,45
2025-02-11,Mazatlán Centro,Mazatlán,Armazón básico,Armazones,1,350,0,350
2025-02-11,Los Mochis,Los Mochis,Microfibra,Accesorios,2,45,0,90
2025-02-12,Tres Ríos,Culiacán,Estuche rígido,Accesorios,1,80,0.05,76.0
2025-02-12,Plaza Fiesta,Culiacán,Consulta visual,Servicios,3,99,0.15,252.45
2025-02-12,Plaza Fiesta,Culiacán,Lentes monofocales,Lentes,2,890,0.05,1691.0
2025-02-12,Tres Ríos,Culiacán,Solución 360ml,Accesorios,3,120,0,360
2025-02-13,Tres Ríos,Culiacán,Lentes bifocales,Lentes,2,1490,0,2980
2025-02-13,Mazatlán Dorado,Mazatlán,Armazón premium,Armazones,2,890,0,1780
2025-02-13,Tres Ríos,Culiacán,Estuche rígido,Accesorios,1,80,0,80
2025-02-13,Plaza Fiesta,Culiacán,Armazón de diseñador,Armazones,2,1650,0.1,2970.0
2025-02-13,Forum,Culiacán,Armazón de diseñador,Armazones,1,1650,0,1650
2025-02-13,Plaza Fiesta,Culiacán,Consulta visual,Servicios,2,99,0.1,178.2
2025-02-13,Guasave,Guasave,Armazón de diseñador,Armazones,1,1650,0,1650
2025-02-14,Mazatlán Dorado,Mazatlán,Lentes bifocales,Lentes,2,1490,0.1,2682.0
2025-02-14,Mazatlán Centro,Mazatlán,Consulta visual,Servicios,1,99,0,99
2025-02-14,Los Mochis,Los Mochis,Lentes monofocales,Lentes,3,890,0.15,2269.5
2025-02-14,Tres Ríos,Culiacán,Microfibra,Accesorios,3,45,0,135
2025-02-14,Plaza Fiesta,Culiacán,Microfibra,Accesorios,3,45,0.05,128.25
2025-02-14,Guasave,Guasave,Armazón premium,Armazones,1,890,0,890
2025-02-14,Mazatlán Dorado,Mazatlán,Lentes progresivos,Lentes,2,2490,0.05,4731.0
2025-02-15,Mazatlán Centro,Mazatlán,Gotas lubricantes,Accesorios,2,95,0.15,161.5
2025-02-15,Mazatlán Centro,Mazatlán,Solución 360ml,Accesorios,1,120,0,120
2025-02-15,Galerías,Culiacán,Armazón premium,Armazones,1,890,0.15,756.5
2025-02-15,Tres Ríos,Culiacán,Gotas lubricantes,Accesorios,3,95,0,285
2025-02-15,Tres Ríos,Culiacán,Armazón de diseñador,Armazones,1,1650,0.1,1485.0
2025-02-15,Mazatlán Dorado,Mazatlán,Armazón premium,Armazones,3,890,0.15,2269.5
2025-02-16,Forum,Culiacán,Lentes bifocales,Lentes,1,1490,0.1,1341.0
2025-02-16,Plaza Fiesta,Culiacán,Armazón de diseñador,Armazones,2,1650,0,3300
2025-02-16,Plaza Fiesta,Culiacán,Armazón premium,Armazones,1,890,0.1,801.0
2025-02-16,Tres Ríos,Culiacán,Consulta visual,Servicios,2,99,0.05,188.1
2025-02-16,Guasave,Guasave,Consulta visual,Servicios,1,99,0,99
2025-02-16,Guasave,Guasave,Armazón básico,Armazones,1,350,0,350
2025-02-16,Mazatlán Dorado,Mazatlán,Armazón de diseñador,Armazones,1,1650,0,1650
2025-02-17,Galerías,Culiacán,Lentes progresivos,Lentes,2,2490,0.15,4233.0
2025-02-17,Guasave,Guasave,Lentes progresivos,Lentes,2,2490,0,4980
2025-02-17,Los Mochis,Los Mochis,Microfibra,Accesorios,3,45,0,135
2025-02-17,Forum,Culiacán,Estuche rígido,Accesorios,2,80,0,160
2025-02-17,Forum,Culiacán,Solución 360ml,Accesorios,1,120,0,120
2025-02-17,Mazatlán Dorado,Mazatlán,Solución 360ml,Accesorios,3,120,0,360
2025-02-17,Los Mochis,Los Mochis,Lentes bifocales,Lentes,3,1490,0,4470
2025-02-18,Los Mochis,Los Mochis,Microfibra,Accesorios,2,45,0.05,85.5
2025-02-18,Centro,Culiacán,Estuche rígido,Accesorios,1,80,0,80
2025-02-18,Plaza Fiesta,Culiacán,Gotas lubricantes,Accesorios,3,95,0,285
2025-02-18,Mazatlán Centro,Mazatlán,Armazón básico,Armazones,2,350,0,700
2025-02-18,Mazatlán Dorado,Mazatlán,Armazón básico,Armazones,1,350,0.05,332.5
2025-02-18,Mazatlán Dorado,Mazatlán,Consulta visual,Servicios,3,99,0,297
2025-02-18,Forum,Culiacán,Estuche rígido,Accesorios,3,80,0,240
2025-02-18,Guasave,Guasave,Armazón básico,Armazones,3,350,0.05,997.5
2025-02-18,Plaza Fiesta,Culiacán,Consulta visual,Servicios,1,99,0,99
2025-02-19,Forum,Culiacán,Armazón premium,Armazones,1,890,0.1,801.0
2025-02-19,Plaza Fiesta,Culiacán,Armazón básico,Armazones,1,350,0,350
2025-02-19,Los Mochis,Los Mochis,Gotas lubricantes,Accesorios,3,95,0.15,242.25
2025-02-19,Mazatlán Centro,Mazatlán,Armazón premium,Armazones,3,890,0,2670
2025-02-19,Mazatlán Centro,Mazatlán,Lentes progresivos,Lentes,2,2490,0.1,4482.0
2025-02-20,Centro,Culiacán,Armazón premium,Armazones,3,890,0,2670
2025-02-20,Guasave,Guasave,Estuche rígido,Accesorios,2,80,0,160
2025-02-21,Guasave,Guasave,Armazón de diseñador,Armazones,1,1650,0,1650
2025-02-21,Guasave,Guasave,Lentes monofocales,Lentes,2,890,0,1780
2025-02-21,Plaza Fiesta,Culiacán,Estuche rígido,Accesorios,1,80,0.05,76.0
2025-02-21,Forum,Culiacán,Armazón premium,Armazones,3,890,0.05,2536.5
2025-02-21,Guasave,Guasave,Lentes monofocales,Lentes,3,890,0.15,2269.5
2025-02-21,Mazatlán Dorado,Mazatlán,Consulta visual,Servicios,1,99,0,99
2025-02-22,Mazatlán Centro,Mazatlán,Solución 360ml,Accesorios,3,120,0,360
2025-02-22,Mazatlán Centro,Mazatlán,Microfibra,Accesorios,2,45,0,90
2025-02-22,Mazatlán Centro,Mazatlán,Armazón de diseñador,Armazones,3,1650,0,4950
2025-02-22,Centro,Culiacán,Armazón de diseñador,Armazones,3,1650,0,4950
2025-02-22,Mazatlán Centro,Mazatlán,Estuche rígido,Accesorios,2,80,0,160
2025-02-22,Mazatlán Centro,Mazatlán,Consulta visual,Servicios,3,99,0,297
2025-02-23,Guasave,Guasave,Microfibra,Accesorios,3,45,0,135
2025-02-23,Mazatlán Centro,Mazatlán,Microfibra,Accesorios,2,45,0.15,76.5
2025-02-23,Galerías,Culiacán,Armazón básico,Armazones,3,350,0,1050
2025-02-23,Los Mochis,Los Mochis,Estuche rígido,Accesorios,1,80,0,80
2025-02-24,Mazatlán Centro,Mazatlán,Armazón premium,Armazones,1,890,0,890
2025-02-24,Guasave,Guasave,Armazón de diseñador,Armazones,2,1650,0.1,2970.0
2025-02-24,Centro,Culiacán,Armazón premium,Armazones,3,890,0,2670
2025-02-24,Guasave,Guasave,Armazón de diseñador,Armazones,1,1650,0,1650
2025-02-25,Centro,Culiacán,Microfibra,Accesorios,3,45,0.1,121.5
2025-02-25,Tres Ríos,Culiacán,Consulta visual,Servicios,3,99,0.15,252.45
2025-02-25,Tres Ríos,Culiacán,Lentes bifocales,Lentes,3,1490,0.1,4023.0
2025-02-25,Tres Ríos,Culiacán,Armazón básico,Armazones,2,350,0,700
2025-02-26,Guasave,Guasave,Solución 360ml,Accesorios,3,120,0,360
2025-02-26,Galerías,Culiacán,Gotas lubricantes,Accesorios,2,95,0,190
2025-02-26,Galerías,Culiacán,Lentes progresivos,Lentes,3,2490,0,7470
2025-02-26,Centro,Culiacán,Armazón básico,Armazones,2,350,0.05,665.0
2025-02-26,Tres Ríos,Culiacán,Lentes bifocales,Lentes,2,1490,0.05,2831.0
2025-02-26,Mazatlán Dorado,Mazatlán,Estuche rígido,Accesorios,3,80,0,240
2025-02-26,Tres Ríos,Culiacán,Estuche rígido,Accesorios,2,80,0.1,144.0
2025-02-26,Los Mochis,Los Mochis,Microfibra,Accesorios,3,45,0.05,128.25
2025-02-26,Centro,Culiacán,Solución 360ml,Accesorios,2,120,0.1,216.0
2025-02-26,Los Mochis,Los Mochis,Armazón premium,Armazones,2,890,0.05,1691.0
2025-02-26,Tres Ríos,Culiacán,Consulta visual,Servicios,2,99,0.1,178.2
2025-02-27,Plaza Fiesta,Culiacán,Solución 360ml,Accesorios,1,120,0,120
2025-02-27,Forum,Culiacán,Estuche rígido,Accesorios,3,80,0.05,228.0
2025-02-27,Centro,Culiacán,Lentes bifocales,Lentes,2,1490,0,2980
2025-02-27,Tres Ríos,Culiacán,Armazón de diseñador,Armazones,3,1650,0,4950
2025-02-27,Forum,Culiacán,Microfibra,Accesorios,1,45,0,45
